,location,bhk,total_sqft,bath,price,price_per_sqft
1975,other,3,1936.0,2.0,54.21,2800.103305785124
1976,Nagavara,4,2172.65,3.0,120.0,5523.208984419948
1977,Sahakara Nagar,3,1100.0,2.0,75.0,6818.181818181818
1978,BTM 2nd Stage,3,1260.0,5.0,185.0,14682.539682539682
1981,Sarjapur  Road,2,1117.0,2.0,29.99,2684.870188003581
1982,other,3,1685.0,2.0,110.0,6528.189910979228
1983,CV Raman Nagar,2,740.0,2.0,37.0,5000.0
1985,Magadi Road,4,1500.0,2.0,93.0,6200.0
1986,Banashankari,3,1800.0,3.0,115.0,6388.888888888889
1987,Yelachenahalli,3,1700.0,3.0,130.0,7647.058823529412
1988,Uttarahalli,2,850.0,2.0,37.93,4462.35294117647
1989,Hennur Road,3,1891.0,3.0,139.0,7350.608143839238
1990,Jalahalli,2,1400.0,1.0,80.0,5714.285714285715
1991,Lakshminarayana Pura,2,1172.0,2.0,82.0,6996.587030716723
1992,Electronic City Phase II,3,1400.0,2.0,40.43,2887.8571428571427
1993,Sonnenahalli,2,896.0,2.0,43.75,4882.8125
1994,Vijayanagar,2,1180.0,2.0,65.0,5508.474576271186
1995,Basaveshwara Nagar,7,2460.0,7.0,350.0,14227.642276422765
1996,other,2,850.0,2.0,33.0,3882.3529411764707
1997,Anekal,1,530.0,1.0,18.0,3396.2264150943397
1998,other,3,1550.0,3.0,110.0,7096.774193548387
1999,Kanakapura,3,1699.0,3.0,97.0,5709.240729841083
2000,Bellandur,4,2025.0,4.0,109.0,5382.716049382716
2001,Ananth Nagar,1,500.0,2.0,14.0,2800.0
2002,other,1,500.0,1.0,20.0,4000.0
2003,other,2,1146.0,2.0,38.5,3359.5113438045373
2004,Malleshwaram,3,2475.0,4.0,332.0,13414.141414141413
2005,Haralur Road,2,1455.0,2.0,145.0,9965.635738831616
2006,Seegehalli,2,800.0,1.0,50.0,6250.0
2007,Abbigere,1,765.0,2.0,30.0,3921.5686274509803
2008,Lingadheeranahalli,3,1521.0,3.0,94.99,6245.233399079553
2009,Gottigere,3,1600.0,2.0,55.0,3437.5
2010,other,3,3155.0,4.0,370.0,11727.41679873217
2011,Hebbal Kempapura,3,2900.0,4.0,240.0,8275.862068965518
2012,other,3,1765.0,3.0,105.0,5949.008498583569
2013,Kasavanhalli,3,1980.0,3.0,88.0,4444.444444444444
2014,Amruthahalli,3,1900.0,3.0,135.0,7105.263157894737
2015,other,2,1265.0,2.0,70.0,5533.596837944664
2016,Bommasandra,2,1034.0,2.0,40.0,3868.4719535783365
2017,other,2,1012.0,2.0,59.0,5830.0395256917
2018,Electronic City,2,1070.0,2.0,54.0,5046.728971962617
2019,Mahadevpura,4,3555.0,4.0,230.0,6469.760900140647
2020,5th Block Hbr Layout,3,1270.0,2.0,70.0,5511.811023622047
2022,other,3,2045.0,4.0,154.0,7530.562347188264
2023,Bellandur,3,1490.0,2.0,98.0,6577.181208053691
2024,Banaswadi,7,6150.0,6.0,830.0,13495.934959349594
2025,Mysore Road,2,883.0,2.0,40.0,4530.011325028313
2026,Yeshwanthpur,1,671.0,1.0,36.85,5491.803278688524
2027,Kammasandra,2,1156.0,2.0,32.0,2768.166089965398
2028,Haralur Road,3,2017.0,3.0,125.0,6197.322756569162
2029,Thigalarapalya,4,3122.0,6.0,235.0,7527.226137091608
2030,Ramagondanahalli,3,1635.0,3.0,62.0,3792.0489296636088
2031,other,7,4400.0,9.0,120.0,2727.2727272727275
2032,Kanakpura Road,2,1296.0,2.0,89.0,6867.283950617284
2033,other,6,2400.0,4.0,280.0,11666.666666666666
2034,Budigere,2,1139.0,2.0,62.0,5443.371378402107
2035,CV Raman Nagar,2,1230.0,3.0,47.0,3821.1382113821137
2036,other,1,581.91,2.0,25.0,4296.197006409926
2037,Binny Pete,2,1245.0,2.0,86.28,6930.120481927711
2038,other,3,1158.0,2.0,85.0,7340.241796200346
2039,Marathahalli,4,3951.0,4.0,220.0,5568.2105796001015
2041,Ramamurthy Nagar,1,360.0,1.0,26.0,7222.222222222223
2042,Electronics City Phase 1,3,1350.0,3.0,55.0,4074.074074074074
2043,Green Glen Layout,3,1670.0,3.0,120.0,7185.62874251497
2044,Akshaya Nagar,3,1600.0,2.0,65.0,4062.5
2045,Horamavu Banaswadi,2,1307.0,2.0,51.6,3947.972456006121
2046,7th Phase JP Nagar,3,1050.0,2.0,57.0,5428.571428571428
2047,Hennur Road,3,1703.0,3.0,101.0,5930.710510863182
2048,Kaggalipura,3,1210.0,2.0,58.0,4793.388429752066
2049,Electronic City,2,1025.0,2.0,29.6,2887.8048780487807
2050,Haralur Road,2,1140.0,2.0,43.0,3771.9298245614036
2051,7th Phase JP Nagar,3,1343.0,2.0,56.41,4200.297840655249
2052,R.T. Nagar,3,1560.0,3.0,85.0,5448.717948717948
2053,Kalkere,2,925.0,2.0,51.0,5513.513513513513
2054,Kanakpura Road,3,1420.0,2.0,75.0,5281.69014084507
2055,1st Block Koramangala,2,1415.0,2.0,110.0,7773.851590106007
2056,other,2,1210.0,2.0,60.0,4958.677685950413
2057,Yeshwanthpur,3,1852.0,3.0,160.0,8639.308855291576
2058,Hoskote,3,1250.0,3.0,50.0,4000.0
2059,9th Phase JP Nagar,2,1100.0,2.0,65.0,5909.090909090909
2060,2nd Phase Judicial Layout,2,1150.0,2.0,40.25,3500.0
2061,Jakkur,2,1100.0,2.0,53.35,4850.0
2062,Magadi Road,2,1350.0,1.0,100.0,7407.407407407408
2063,Panathur,3,1546.0,3.0,99.0,6403.622250970246
2064,Ambedkar Nagar,2,1424.0,2.0,90.0,6320.224719101124
2065,Bellandur,3,1398.0,3.0,68.0,4864.0915593705295
2066,Indira Nagar,3,1650.0,3.0,200.0,12121.212121212122
2067,HBR Layout,4,1200.0,4.0,120.0,10000.0
2068,Brookefield,3,1476.0,3.0,105.0,7113.821138211382
2070,Magadi Road,3,1322.0,2.0,58.82,4449.3192133131615
2072,other,2,1100.0,2.0,55.0,5000.0
2073,other,4,4750.0,5.0,600.0,12631.578947368422
2074,Sarjapur,3,1285.0,2.0,68.0,5291.828793774319
2075,Ambalipura,2,1150.0,2.0,80.0,6956.521739130435
2076,Thanisandra,3,1430.0,2.0,56.0,3916.083916083916
2077,Marathahalli,3,1350.0,2.0,62.0,4592.592592592592
2078,other,3,1350.0,3.0,195.0,14444.444444444445
2079,Thubarahalli,2,1185.0,2.0,65.0,5485.232067510548
2080,Bannerghatta Road,3,1760.0,3.0,67.0,3806.818181818182
2081,other,4,2400.0,5.0,350.0,14583.333333333334
2082,Kanakpura Road,2,900.0,2.0,41.0,4555.555555555556
2083,Kanakpura Road,2,1297.0,2.0,105.0,8095.605242868157
2084,other,3,1840.0,3.0,155.0,8423.91304347826
2085,Ramamurthy Nagar,2,950.0,2.0,50.79,5346.315789473684
2087,BTM 2nd Stage,2,950.0,2.0,52.0,5473.684210526316
2088,Yeshwanthpur,2,1277.5,2.0,95.815,7500.1956947162425
2089,Electronic City,3,1571.0,3.0,89.0,5665.1814131126675
2090,Electronic City Phase II,2,1031.0,2.0,55.0,5334.62657613967
2091,Whitefield,2,1485.0,2.0,90.0,6060.606060606061
2092,Ananth Nagar,2,1109.0,2.0,60.0,5410.279531109108
2093,Koramangala,3,2200.0,3.0,180.0,8181.818181818182
2094,Whitefield,1,950.0,1.0,50.0,5263.1578947368425
2095,Laggere,3,1200.0,2.0,150.0,12500.0
2096,Hosa Road,2,1161.0,2.0,55.15,4750.215331610681
2097,Basavangudi,3,2350.0,3.0,300.0,12765.95744680851
2098,Electronic City Phase II,2,1003.0,2.0,40.6,4047.8564307078764
2099,other,2,1350.0,2.0,185.0,13703.703703703704
2100,9th Phase JP Nagar,2,1080.0,2.0,37.0,3425.925925925926
2101,Hulimavu,2,1255.0,2.0,73.0,5816.733067729084
2102,Banaswadi,2,1250.0,2.0,60.0,4800.0
2103,Brookefield,4,1700.0,4.0,152.0,8941.176470588236
2104,Ramamurthy Nagar,3,1200.0,2.0,66.0,5500.0
2105,other,2,824.0,2.0,60.0,7281.553398058252
2106,1st Phase JP Nagar,3,1875.0,3.0,167.0,8906.666666666666
2107,Bommasandra Industrial Area,3,1320.0,2.0,38.12,2887.8787878787875
2108,Kothanur,5,9600.0,5.0,550.0,5729.166666666667
2109,Uttarahalli,3,1330.0,2.0,47.0,3533.8345864661655
2110,Kaikondrahalli,3,1220.0,3.0,56.0,4590.163934426229
2111,Electronic City,3,1111.0,3.0,50.0,4500.450045004501
2112,Kothannur,2,1197.0,2.0,47.88,4000.0
2113,Marathahalli,4,2519.0,5.0,185.0,7344.184200079397
2114,other,3,1340.0,2.0,100.0,7462.686567164179
2115,Old Madras Road,4,1450.0,3.0,132.0,9103.448275862069
2116,Hoodi,3,1837.0,3.0,145.0,7893.304300489929
2117,Haralur Road,4,1200.0,4.0,245.0,20416.666666666668
2118,Kudlu Gate,2,1238.0,2.0,55.0,4442.64943457189
2119,7th Phase JP Nagar,3,1405.0,2.0,59.01,4200.0
2120,Doddaballapur,4,1690.0,3.0,80.0,4733.7278106508875
2121,other,3,1620.0,2.0,110.0,6790.123456790124
2122,Kanakpura Road,3,1673.0,3.0,115.0,6873.879258816497
2123,Margondanahalli,2,1090.0,2.0,58.0,5321.100917431193
2124,Varthur,2,1112.0,2.0,40.0,3597.122302158273
2125,Marathahalli,3,1385.0,2.0,66.65,4812.274368231047
2127,Subramanyapura,2,985.0,2.0,58.0,5888.324873096447
2128,Kanakpura Road,1,825.0,1.0,36.29,4398.787878787879
2129,Kanakpura Road,2,1080.0,2.0,37.8,3499.9999999999995
2130,Hosa Road,2,1430.0,2.0,97.52,6819.580419580419
2131,Kengeri Satellite Town,2,1050.0,2.0,43.0,4095.2380952380954
2132,Kumaraswami Layout,4,2000.0,4.0,139.0,6950.0
2133,Banashankari Stage VI,4,4800.0,4.0,190.0,3958.3333333333335
2134,other,3,1533.0,3.0,115.0,7501.630789302022
2135,other,4,2800.0,3.0,500.0,17857.14285714286
2136,Malleshwaram,3,2610.0,3.0,399.0,15287.356321839081
2137,Lakshminarayana Pura,3,1750.0,3.0,150.0,8571.42857142857
2138,TC Palaya,3,1200.0,2.0,66.0,5500.0
2139,Prithvi Layout,2,1352.0,2.0,87.5,6471.89349112426
2140,Harlur,3,1754.0,3.0,125.0,7126.567844925884
2141,other,3,1560.0,3.0,85.0,5448.717948717948
2142,Bannerghatta,4,3012.0,6.0,268.0,8897.742363877822
2143,Whitefield,4,3584.0,4.0,199.0,5552.455357142857
2144,Channasandra,3,1470.0,2.0,90.0,6122.448979591837
2145,9th Phase JP Nagar,2,1035.0,2.0,45.0,4347.826086956522
2146,Whitefield,4,2400.0,5.0,329.0,13708.333333333334
2147,Kammanahalli,2,1160.0,2.0,52.0,4482.758620689655
2148,Jakkur,2,1100.0,2.0,52.0,4727.272727272727
2149,Horamavu Agara,2,1170.0,2.0,38.0,3247.863247863248
2150,Bannerghatta Road,1,595.0,1.0,31.83,5349.579831932773
2151,HSR Layout,3,1650.0,3.0,110.0,6666.666666666667
2152,1st Block Jayanagar,3,1875.0,2.0,235.0,12533.333333333334
2154,other,3,1375.0,2.0,48.06,3495.2727272727275
2155,Ramagondanahalli,2,1235.0,2.0,46.8,3789.4736842105262
2156,other,1,750.0,1.0,25.0,3333.3333333333335
2157,7th Phase JP Nagar,3,1400.0,3.0,115.0,8214.285714285714
2158,Poorna Pragna Layout,3,1270.0,2.0,50.79,3999.212598425197
2159,Bannerghatta Road,2,1105.0,2.0,51.0,4615.384615384615
2160,other,3,1375.0,2.0,85.0,6181.818181818182
2161,Attibele,4,2168.0,4.0,95.0,4381.918819188192
2163,Yelahanka,2,1065.0,2.0,40.84,3834.7417840375592
2164,other,3,3800.0,3.0,580.0,15263.157894736842
2165,Raja Rajeshwari Nagar,9,3125.0,9.0,350.0,11200.0
2166,Whitefield,1,825.0,1.0,45.0,5454.545454545455
2167,other,2,1095.0,2.0,40.0,3652.9680365296804
2169,other,3,1440.0,2.0,60.33,4189.583333333333
2170,Electronic City,2,870.0,2.0,39.5,4540.229885057472
2171,Panathur,2,1195.0,2.0,84.0,7029.28870292887
2172,other,2,1200.0,2.0,49.5,4125.0
2173,Raja Rajeshwari Nagar,3,1530.0,3.0,61.2,4000.0
2174,Padmanabhanagar,3,1708.0,2.0,90.5,5298.594847775175
2175,other,2,975.0,2.0,43.0,4410.25641025641
2176,KR Puram,2,750.0,2.0,25.0,3333.3333333333335
2178,Iblur Village,3,1920.0,3.0,130.0,6770.833333333333
2180,Thanisandra,2,1183.0,2.0,58.56,4950.126796280642
2182,Mico Layout,3,1550.0,2.0,65.0,4193.548387096775
2183,Kaggadasapura,2,1110.0,2.0,53.0,4774.774774774774
2185,Kaggadasapura,2,1105.0,2.0,38.67,3499.547511312217
2186,Anekal,3,1800.0,3.0,68.0,3777.777777777778
2187,other,5,2800.0,4.0,200.0,7142.857142857143
2188,Bommanahalli,2,1000.0,2.0,29.9,2990.0
2189,Prithvi Layout,2,1190.0,2.0,68.0,5714.285714285715
2190,2nd Stage Nagarbhavi,4,1350.0,4.0,200.0,14814.814814814816
2191,Hebbal,4,3067.0,4.0,230.0,7499.184871209651
2192,Sarjapur  Road,3,1929.0,4.0,103.0,5339.554173146708
2193,Ramamurthy Nagar,3,1525.0,3.0,100.0,6557.377049180328
2194,Nehru Nagar,3,1775.0,3.0,110.0,6197.183098591549
2195,Banashankari,2,1125.0,2.0,63.0,5600.0
2196,other,2,900.0,2.0,42.0,4666.666666666667
2197,Sarjapur  Road,2,1155.0,2.0,58.0,5021.645021645022
2198,Hulimavu,4,1200.0,4.0,75.0,6250.0
2199,Sonnenahalli,2,1268.0,2.0,73.0,5757.097791798107
2200,other,3,1500.0,3.0,88.0,5866.666666666667
2201,Electronic City,1,630.0,1.0,47.0,7460.31746031746
2202,Seegehalli,3,1525.0,3.0,65.0,4262.295081967213
2203,Kaggadasapura,2,1060.0,2.0,48.0,4528.301886792453
2204,Lingadheeranahalli,3,1687.0,3.0,127.0,7528.156490812093
2205,Thanisandra,3,1847.0,3.0,123.0,6659.447753113156
2206,Begur Road,3,1410.0,2.0,53.0,3758.8652482269504
2207,7th Phase JP Nagar,2,1075.0,2.0,42.99,3999.0697674418607
2208,Rajaji Nagar,4,3526.0,4.0,492.0,13953.488372093023
2209,BTM Layout,3,3000.0,3.0,338.0,11266.666666666666
2210,Basavangudi,3,1500.0,2.0,143.0,9533.333333333334
2211,other,2,1010.0,2.0,46.0,4554.455445544554
2212,Haralur Road,3,1875.0,3.0,110.0,5866.666666666667
2214,Kanakpura Road,2,983.0,2.0,50.6,5147.5076297049845
2215,Kasturi Nagar,2,1101.0,2.0,65.0,5903.723887375114
2216,other,2,1140.0,2.0,76.0,6666.666666666667
2217,Sarjapur  Road,2,1215.0,2.0,110.0,9053.497942386832
2218,Kengeri Satellite Town,2,1007.0,2.0,42.0,4170.8043694141015
2219,Bellandur,3,2039.0,3.0,168.0,8239.333006375675
2220,Ulsoor,3,1020.0,3.0,110.0,10784.313725490196
2221,other,2,1198.0,2.0,84.0,7011.686143572621
2222,other,4,4000.0,4.0,520.0,13000.0
2223,other,4,1470.0,4.0,34.5,2346.938775510204
2224,other,2,1370.0,2.0,75.0,5474.4525547445255
2225,other,2,1316.0,2.0,55.5,4217.325227963526
2226,Kaggadasapura,3,1350.0,3.0,55.5,4111.111111111111
2227,Gunjur Palya,2,1050.0,2.0,43.0,4095.2380952380954
2228,KR Puram,3,1128.76,3.0,47.405,4199.741309047096
2229,Electronic City,2,921.0,2.0,34.0,3691.6395222584147
2230,Kundalahalli,2,1010.0,2.0,49.27,4878.217821782178
2231,KR Puram,2,1015.0,2.0,43.0,4236.453201970443
2232,TC Palaya,3,1200.0,2.0,66.5,5541.666666666667
2233,Lakshminarayana Pura,2,1179.0,2.0,75.0,6361.323155216285
2234,Anjanapura,4,1850.0,4.0,86.0,4648.648648648648
2235,Kammasandra,2,870.0,2.0,24.0,2758.6206896551726
2236,Bellandur,3,1605.0,3.0,85.0,5295.95015576324
2237,Banashankari Stage VI,4,2800.0,4.0,89.0,3178.5714285714284
2238,Malleshwaram,3,2475.0,4.0,320.0,12929.29292929293
2239,other,2,3000.0,2.0,510.0,17000.0
2240,other,6,2400.0,7.0,110.0,4583.333333333333
2241,other,2,1000.0,1.0,55.0,5500.0
2242,Ramamurthy Nagar,2,1200.0,2.0,80.0,6666.666666666667
2243,other,2,1200.0,2.0,125.0,10416.666666666666
2244,Kammasandra,2,1200.0,2.0,66.0,5500.0
2245,other,2,1200.0,2.0,50.0,4166.666666666667
2246,Hennur,2,1255.0,2.0,57.5,4581.673306772908
2247,Hosur Road,2,1085.0,2.0,30.38,2800.0
2248,Kanakpura Road,3,1592.0,3.0,125.0,7851.75879396985
2249,other,2,1313.0,2.0,58.27,4437.928408225438
2250,Kogilu,3,1934.0,3.0,150.0,7755.946225439504
2251,Harlur,2,1200.0,2.0,49.5,4125.0
2252,Uttarahalli,6,3600.0,6.0,120.0,3333.3333333333335
2253,Old Madras Road,2,935.0,2.0,45.0,4812.834224598931
2254,Bommasandra,2,877.0,2.0,30.0,3420.752565564424
2255,other,2,936.0,2.0,42.0,4487.179487179487
2256,Nagasandra,3,1470.0,2.0,110.0,7482.993197278912
2257,other,1,1050.0,1.0,70.0,6666.666666666667
2258,Hennur Road,2,1232.0,2.0,69.61,5650.162337662337
2259,Ambedkar Nagar,3,2225.0,4.0,169.0,7595.505617977528
2260,other,3,1200.0,2.0,80.0,6666.666666666667
2261,Dasarahalli,3,1901.0,3.0,119.0,6259.863229879011
2262,Sarjapur  Road,3,1819.0,3.0,100.0,5497.526113249038
2263,other,3,1464.0,3.0,56.0,3825.136612021858
2265,Old Madras Road,4,3715.0,6.0,200.5,5397.039030955585
2266,9th Phase JP Nagar,4,5000.0,4.0,290.0,5800.0
2267,other,4,1200.0,4.0,169.0,14083.333333333334
2268,other,2,1256.0,2.0,60.0,4777.070063694267
2269,7th Phase JP Nagar,2,1100.0,2.0,44.0,4000.0
2270,TC Palaya,4,4800.0,3.0,302.0,6291.666666666667
2271,Kothanur,3,1435.0,3.0,70.0,4878.048780487805
2272,6th Phase JP Nagar,4,3245.0,4.0,250.0,7704.160246533128
2273,Sarjapur  Road,3,1845.0,4.0,110.0,5962.059620596206
2274,Jigani,3,2400.0,4.0,130.0,5416.666666666667
2275,HSR Layout,2,1140.0,2.0,46.0,4035.0877192982457
2276,Ulsoor,2,1200.0,2.0,60.0,5000.0
2277,Talaghattapura,3,2254.0,3.0,170.0,7542.147293700089
2278,Frazer Town,3,1750.0,3.0,150.0,8571.42857142857
2279,other,2,1020.0,2.0,37.0,3627.450980392157
2280,Bommanahalli,1,515.0,1.0,25.0,4854.368932038835
2281,Lingadheeranahalli,3,1893.0,3.0,140.0,7395.66825145272
2282,other,3,3025.0,3.0,500.0,16528.92561983471
2283,other,2,830.0,2.0,34.0,4096.385542168675
2284,Singasandra,2,600.0,2.0,36.5,6083.333333333333
2285,Bisuvanahalli,3,1075.0,2.0,90.0,8372.093023255815
2286,other,4,3200.0,4.0,1200.0,37500.0
2287,Kasavanhalli,2,1200.0,2.0,78.0,6500.0
2288,Sarjapur  Road,2,1233.0,2.0,77.65,6297.6480129764805
2289,Bannerghatta Road,2,1255.0,2.0,65.26,5200.000000000001
2290,Begur Road,2,1200.0,2.0,37.8,3149.9999999999995
2291,Varthur,3,2145.0,3.0,175.0,8158.508158508159
2292,1st Phase JP Nagar,5,1500.0,5.0,85.0,5666.666666666667
2293,Kothannur,2,740.0,2.0,34.0,4594.594594594595
2294,Kengeri,3,1250.0,3.0,48.0,3840.0
2295,other,2,1210.0,2.0,40.0,3305.785123966942
2296,Sarjapur  Road,3,1525.0,2.0,60.0,3934.4262295081967
2297,Kogilu,1,540.0,1.0,36.0,6666.666666666667
2298,Tumkur Road,3,1240.0,2.0,84.0,6774.193548387097
2299,Subramanyapura,3,1245.0,2.0,68.0,5461.847389558233
2300,other,3,1865.0,3.0,350.0,18766.756032171583
2301,Hosa Road,2,1104.0,2.0,36.43,3299.81884057971
2302,Bisuvanahalli,3,1075.0,2.0,35.99,3347.906976744186
2303,Nagavara,2,2200.0,2.0,55.0,2500.0
2304,Whitefield,2,1155.0,2.0,60.0,5194.805194805195
2305,other,2,1520.0,2.0,62.0,4078.9473684210525
2306,Thigalarapalya,4,3122.0,6.0,245.0,7847.533632286995
2307,Harlur,2,1290.0,2.0,85.0,6589.147286821705
2308,other,3,2300.0,3.0,80.0,3478.2608695652175
2309,Kannamangala,4,3000.0,4.0,200.0,6666.666666666667
2310,Whitefield,4,,4.0,270.0,
2311,other,1,400.0,1.0,14.0,3500.0
2312,Banashankari,3,1340.0,2.0,53.6,4000.0
2313,Malleshwaram,2,900.0,2.0,95.0,10555.555555555555
2314,Rajaji Nagar,6,1800.0,4.0,324.0,18000.0
2315,Hennur Road,2,987.0,2.0,49.0,4964.5390070921985
2316,Old Madras Road,3,1720.0,3.0,100.0,5813.953488372093
2317,Hebbal,2,1040.0,2.0,50.0,4807.692307692308
2318,Anandapura,2,900.0,2.0,64.0,7111.111111111111
2319,Raja Rajeshwari Nagar,2,1030.0,2.0,50.0,4854.368932038835
2320,Neeladri Nagar,3,2556.0,3.0,133.0,5203.442879499217
2321,Basavangudi,3,1850.0,3.0,168.0,9081.081081081082
2323,Balagere,2,1028.0,2.0,31.86,3099.2217898832687
2324,7th Phase JP Nagar,2,1270.0,2.0,83.0,6535.433070866142
2325,Sahakara Nagar,3,1655.0,3.0,115.0,6948.640483383686
2326,Electronics City Phase 1,2,940.0,2.0,40.0,4255.31914893617
2327,Domlur,2,1050.0,2.0,85.0,8095.238095238095
2329,other,2,946.0,2.0,38.0,4016.913319238901
2330,CV Raman Nagar,3,1726.0,3.0,145.0,8400.92699884125
2331,Sarakki Nagar,3,2121.0,4.0,253.0,11928.335690711929
2332,Vittasandra,2,1404.0,2.0,75.0,5341.880341880342
2333,Sarjapur,3,1525.0,2.0,48.0,3147.5409836065573
2334,Kengeri,2,1025.0,2.0,57.0,5560.975609756098
2335,other,5,1575.0,4.0,150.0,9523.809523809523
2336,other,2,860.0,1.0,43.0,5000.0
2337,Talaghattapura,3,1223.0,2.0,42.81,3500.408830744072
2338,other,4,3750.0,3.0,550.0,14666.666666666666
2339,Kothannur,2,1197.0,2.0,47.8,3993.316624895572
2340,Garudachar Palya,2,1150.0,2.0,52.75,4586.95652173913
2341,other,4,4800.0,5.0,629.0,13104.166666666666
2342,R.T. Nagar,2,1040.0,2.0,46.0,4423.076923076923
2343,Banashankari,2,1310.0,2.0,80.0,6106.8702290076335
2344,Uttarahalli,3,1788.0,3.0,98.34,5500.0
2345,Raja Rajeshwari Nagar,2,1144.0,2.0,38.55,3369.7552447552443
2346,Anjanapura,2,1070.0,2.0,39.0,3644.8598130841124
2347,other,2,1200.0,2.0,70.0,5833.333333333333
2348,Ambedkar Nagar,3,1862.0,3.0,120.0,6444.68313641246
2349,Margondanahalli,2,1200.0,2.0,58.5,4875.0
2350,Begur Road,2,970.0,2.0,27.0,2783.505154639175
2351,Kasavanhalli,3,1646.0,3.0,79.5,4829.890643985419
2352,Sarjapur  Road,4,4395.0,4.0,242.0,5506.257110352673
2354,Iblur Village,3,1995.0,3.0,135.0,6766.917293233083
2355,1st Block Jayanagar,4,2400.0,4.0,450.0,18750.0
2356,Hosakerehalli,2,1085.0,2.0,47.74,4400.0
2357,Budigere,2,1139.0,2.0,56.8,4986.830553116769
2358,Haralur Road,2,1092.0,2.0,44.0,4029.3040293040294
2359,Pattandur Agrahara,3,1767.0,3.0,98.0,5546.1233729485
2360,other,3,1700.0,3.0,80.0,4705.882352941177
2361,Bellandur,3,1692.0,3.0,88.0,5200.945626477542
2362,6th Phase JP Nagar,3,1645.0,3.0,100.0,6079.0273556231
2363,Uttarahalli,3,1345.0,2.0,57.0,4237.918215613383
2364,Basapura,2,1100.0,2.0,60.0,5454.545454545455
2365,Gollarapalya Hosahalli,3,1408.0,3.0,62.0,4403.409090909091
2366,Banashankari Stage III,4,2400.0,4.0,240.0,10000.0
2367,Kadugodi,4,1920.0,4.0,200.0,10416.666666666666
2368,other,5,6040.0,4.0,170.0,2814.569536423841
2369,Thigalarapalya,3,2072.0,4.0,150.0,7239.382239382239
2370,Malleshwaram,2,1420.0,2.0,158.0,11126.760563380281
2371,Electronics City Phase 1,3,2040.0,3.0,137.0,6715.686274509804
2372,Sarjapur  Road,3,1220.0,3.0,56.0,4590.163934426229
2373,8th Phase JP Nagar,4,1200.0,4.0,145.0,12083.333333333334
2374,other,2,1300.0,2.0,79.0,6076.923076923077
2375,Electronics City Phase 1,2,1150.0,2.0,39.0,3391.304347826087
2376,KR Puram,2,1470.0,2.0,86.0,5850.340136054422
2377,Hosa Road,2,1063.0,2.0,31.9,3000.9407337723424
2378,other,2,1311.0,2.0,48.0,3661.3272311212813
2379,other,4,3500.0,4.0,350.0,10000.0
2381,other,3,1400.0,2.0,55.0,3928.5714285714284
2382,Kanakpura Road,2,2200.0,2.0,62.0,2818.181818181818
2383,Thanisandra,3,1430.0,2.0,56.0,3916.083916083916
2384,Vidyaranyapura,2,1060.0,2.0,55.0,5188.679245283019
2385,other,3,1000.0,2.0,110.0,11000.0
2386,Sector 7 HSR Layout,3,1760.0,3.0,145.0,8238.636363636364
2387,Whitefield,3,2010.0,3.0,92.0,4577.114427860696
2388,Kanakpura Road,3,1480.0,2.0,64.23,4339.864864864865
2389,8th Phase JP Nagar,3,1230.0,2.0,43.5,3536.5853658536585
2390,Gottigere,3,1300.0,3.0,65.0,5000.0
2392,Frazer Town,4,4850.0,6.0,385.0,7938.144329896907
2393,Singasandra,2,1100.0,2.0,52.0,4727.272727272727
2394,Harlur,3,1752.12,3.0,116.0,6620.551103805676
2395,Marathahalli,2,957.0,2.0,46.9,4900.73145245559
2396,Balagere,1,790.5,1.0,41.9,5300.44275774826
2397,other,3,1942.0,3.0,102.0,5252.317198764161
2398,other,2,1000.0,2.0,53.0,5300.0
2399,Yeshwanthpur,1,668.0,1.0,36.85,5516.4670658682635
2400,other,5,3000.0,6.0,1000.0,33333.333333333336
2402,Uttarahalli,2,1089.0,2.0,43.55,3999.0817263544536
2403,Thanisandra,3,1800.0,3.0,90.0,5000.0
2404,Yelahanka New Town,1,960.0,2.0,18.0,1875.0
2405,Yelahanka,2,1036.0,2.0,39.35,3798.262548262548
2406,Marathahalli,3,1583.0,3.0,105.0,6632.975363234365
2407,7th Phase JP Nagar,4,3300.0,4.0,150.0,4545.454545454545
2408,Padmanabhanagar,2,1100.0,2.0,65.0,5909.090909090909
2409,Thyagaraja Nagar,1,800.0,1.0,100.0,12500.0
2410,Vittasandra,2,1246.0,2.0,65.0,5216.69341894061
2411,Dodda Nekkundi,2,850.0,2.0,28.0,3294.1176470588234
2412,Raja Rajeshwari Nagar,2,1196.0,2.0,51.51,4306.8561872909695
2413,Thanisandra,3,1697.0,3.0,114.0,6717.737183264585
2414,TC Palaya,2,1000.0,2.0,64.0,6400.0
2415,HRBR Layout,3,1567.0,3.0,90.0,5743.458838544991
2416,Anekal,2,1200.0,1.0,36.0,3000.0
2417,Sarjapur  Road,4,3750.0,6.0,290.0,7733.333333333333
2418,other,2,950.0,2.0,45.0,4736.8421052631575
2419,other,2,1022.0,2.0,52.0,5088.062622309198
2420,Kammasandra,2,1018.0,2.0,23.45,2303.5363457760313
2421,other,4,2000.0,3.0,25.0,1250.0
2422,Bharathi Nagar,2,1322.0,2.0,68.0,5143.721633888048
2423,Marsur,4,1800.0,4.0,145.0,8055.555555555556
2424,Doddakallasandra,3,1460.0,2.0,58.39,3999.3150684931506
2425,other,2,990.0,2.0,44.55,4500.0
2426,other,3,2400.0,3.0,260.0,10833.333333333334
